t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
43,47,240102_30C_fig_SX387_03,22,24,gcn,20,1,507,0,0.9981060606060606,0.975609756097561,20
42,44,240102_30C_fig_SX387_05,5,7,gcn,3,1,31,0,0.9714285714285714,0.8571428571428571,10
11,12,240102_30C_fig_SW182_01,7,8,gcn,6,1,49,0,0.9821428571428571,0.9230769230769231,5
25,28,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,15
67,69,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,10
67,70,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,15
87,89,240102_30C_fig_SX387_03,44,45,gcn,43,0,1937,0,1.0,1.0,10
3,7,240102_30C_fig_SX387_03,8,12,gcn,4,2,90,0,0.9791666666666666,0.8,20
88,92,240102_30C_fig_SW182_01,33,35,gcn,31,0,1124,0,1.0,1.0,20
44,46,240102_30C_fig_SW182_01,15,16,gcn,14,1,225,0,0.9958333333333333,0.9655172413793104,10
44,45,240102_30C_fig_SX387_03,22,23,gcn,21,1,484,0,0.9980237154150198,0.9767441860465116,5
11,15,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,20
27,31,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,20
46,47,240102_30C_fig_SW182_01,16,16,gcn,16,0,240,0,1.0,1.0,5
58,61,240102_30C_fig_SW182_01,17,19,gcn,15,1,307,0,0.9969040247678018,0.967741935483871,15
67,69,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,10
38,40,240102_30C_fig_SW182_01,14,14,gcn,14,0,182,0,1.0,1.0,10
22,26,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,20
40,42,240102_30C_fig_SX387_05,5,5,gcn,5,0,20,0,1.0,1.0,10
39,40,240102_30C_fig_SX387_01,20,21,gcn,19,1,400,0,0.9976190476190476,0.9743589743589743,5
20,22,240102_30C_fig_SX387_01,18,19,gcn,17,0,325,0,1.0,1.0,10
112,113,240102_30C_fig_SW182_01,44,44,gcn,44,0,1892,0,1.0,1.0,5
75,79,240102_30C_fig_SX387_03,30,36,gcn,24,6,1050,0,0.9944444444444445,0.8888888888888888,20
56,57,240102_30C_fig_SX387_01,36,36,gcn,36,0,1260,0,1.0,1.0,5
80,83,240102_30C_fig_SW182_01,28,31,gcn,25,3,840,0,0.9965437788018433,0.9433962264150944,15
27,29,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,10
34,36,240102_30C_fig_SW182_01,14,14,gcn,14,0,182,0,1.0,1.0,10
41,42,240102_30C_fig_SW182_01,15,15,gcn,15,0,210,0,1.0,1.0,5
75,76,240102_30C_fig_SW182_01,27,28,gcn,26,1,729,0,0.9986772486772487,0.9811320754716981,5
102,106,240102_30C_fig_SW182_01,37,38,gcn,36,0,1370,0,1.0,1.0,20
15,16,240102_30C_fig_SX387_01,15,16,gcn,14,1,225,0,0.9958333333333333,0.9655172413793104,5
78,80,240102_30C_fig_SX387_03,35,37,gcn,31,4,1258,2,0.9953667953667954,0.9117647058823529,10
86,89,240102_30C_fig_SW182_01,33,33,gcn,33,0,1056,0,1.0,1.0,15
87,88,240102_30C_fig_SW182_01,33,33,gcn,33,0,1056,0,1.0,1.0,5
33,34,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5
133,137,240102_30C_fig_SW182_01,61,63,gcn,59,1,3783,0,0.9997397866250325,0.9915966386554622,20
22,24,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,10
59,60,240102_30C_fig_SW182_01,18,19,gcn,17,1,324,0,0.9970760233918129,0.9714285714285714,5
50,52,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,10
66,70,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,20
51,53,240102_30C_fig_SX387_01,35,36,gcn,31,4,1222,3,0.9944444444444445,0.8985507246376812,10
54,56,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
69,71,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,10
36,40,240102_30C_fig_SX387_01,19,21,gcn,17,2,380,0,0.9949874686716792,0.9444444444444444,20
51,53,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,10
29,32,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,15
18,19,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5
1,2,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,5
101,105,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,20
62,63,240102_30C_fig_SW182_01,19,20,gcn,18,1,361,0,0.9973684210526316,0.972972972972973,5
37,41,240102_30C_fig_SX387_01,19,21,gcn,17,2,380,0,0.9949874686716792,0.9444444444444444,20
138,140,240102_30C_fig_SW182_01,64,66,gcn,62,0,4162,0,1.0,1.0,10
44,48,240102_30C_fig_SX387_05,7,8,gcn,6,1,49,0,0.9821428571428571,0.9230769230769231,20
65,67,240102_30C_fig_SW182_01,20,21,gcn,19,1,400,0,0.9976190476190476,0.9743589743589743,10
16,18,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,10
99,102,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,15
107,111,240102_30C_fig_SX387_03,49,51,gcn,47,0,2452,0,1.0,1.0,20
87,91,240102_30C_fig_SX387_03,44,47,gcn,41,1,2026,0,0.9995164410058027,0.9879518072289156,20
34,37,240102_30C_fig_SW182_01,14,14,gcn,14,0,182,0,1.0,1.0,15
104,106,240102_30C_fig_SW182_01,37,38,gcn,36,0,1370,0,1.0,1.0,10
20,24,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,20
