timediff,colony,seed,assgraphs,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,test_set_6,0,geometrical_features_only,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,0,geometrical_and_fourier,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,0,fourier_descriptor,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,1,geometrical_features_only,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,1,geometrical_and_fourier,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,1,fourier_descriptor,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,2,geometrical_features_only,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,2,geometrical_and_fourier,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_6,2,fourier_descriptor,1.0,384,0,0,16803,384,399,1.0,1.0
5,test_set_7,0,geometrical_features_only,0.9953524399690162,1285,8,4,192084,1293,1336,0.993812838360402,0.9968968192397208
5,test_set_7,0,geometrical_and_fourier,0.994577846630519,1284,9,5,192083,1293,1336,0.9930394431554525,0.9961210240496507
5,test_set_7,0,fourier_descriptor,0.9938032532920216,1283,10,6,192082,1293,1336,0.9922660479505028,0.9953452288595812
5,test_set_7,1,geometrical_features_only,0.9938032532920216,1283,10,6,192082,1293,1336,0.9922660479505028,0.9953452288595812
5,test_set_7,1,geometrical_and_fourier,0.9953524399690162,1285,8,4,192084,1293,1336,0.993812838360402,0.9968968192397208
5,test_set_7,1,fourier_descriptor,0.99147947327653,1280,13,9,192079,1293,1336,0.9899458623356536,0.9930178432893716
5,test_set_7,2,geometrical_features_only,0.9938032532920216,1283,10,6,192082,1293,1336,0.9922660479505028,0.9953452288595812
5,test_set_7,2,geometrical_and_fourier,0.9953524399690162,1285,8,4,192084,1293,1336,0.993812838360402,0.9968968192397208
5,test_set_7,2,fourier_descriptor,0.99147947327653,1280,13,9,192079,1293,1336,0.9899458623356536,0.9930178432893716
